arm,step,epoch,val_HIT1_VG,val_R1_05,val_R1_07,val_mAP_avg,val_mAP_long,val_mAP_middle,val_mAP_short,train_loss
baseline,3419,60,68.90322875976562,69.41935729980469,55.35483932495117,48.2965087890625,57.09316635131836,49.555660247802734,11.068312644958496,15.607065200805664
baseline,3476,61,69.80645751953125,71.61290740966797,56.19355010986328,49.24217224121094,54.93743896484375,52.180179595947266,13.227341651916504,15.575820922851562
baseline,3533,62,72.58065032958984,71.16129302978516,56.774192810058594,51.383243560791016,56.65333557128906,54.14018630981445,14.437324523925781,15.44726276397705
baseline,3590,63,69.54839324951172,71.03226470947266,56.129032135009766,48.960227966308594,55.94932556152344,50.64194869995117,14.059965133666992,15.488308906555176
baseline,3647,64,71.03226470947266,72.83871459960938,57.096778869628906,49.59260177612305,55.129730224609375,52.30772018432617,14.112128257751465,15.428918838500977
baseline,3704,65,71.61290740966797,72.96774291992188,57.8709716796875,51.78221130371094,57.56461715698242,54.35717010498047,14.54568099975586,15.380703926086426
baseline,3761,66,71.48387145996094,71.74193572998047,59.22581100463867,51.10978698730469,56.163875579833984,54.8662109375,13.507301330566406,15.268556594848633
baseline,3818,67,68.70967864990234,71.8709716796875,58.645164489746094,51.656951904296875,56.68571472167969,55.187320709228516,13.775854110717773,15.274598121643066
baseline,3875,68,71.41935729980469,73.29032135009766,58.000003814697266,51.70024108886719,58.594600677490234,54.13603591918945,14.605568885803223,15.261902809143066
baseline,3932,69,71.16129302978516,70.96774291992188,56.19355010986328,50.5965576171875,54.011104583740234,53.962947845458984,15.934050559997559,15.18328857421875
baseline,3989,70,70.38710021972656,71.74193572998047,56.90322494506836,50.615413665771484,56.16899108886719,52.50192642211914,16.079328536987305,15.163643836975098
baseline,4046,71,70.32258605957031,71.54839324951172,56.709678649902344,50.81118392944336,56.68561935424805,52.99431610107422,15.828543663024902,15.069765090942383
baseline,4103,72,69.29032897949219,73.16129302978516,58.19355392456055,51.933963775634766,56.471580505371094,55.35419845581055,15.488582611083984,15.069278717041016
baseline,4160,73,71.8709716796875,72.90322875976562,59.35484313964844,52.110321044921875,57.70984649658203,54.78276824951172,15.218563079833984,15.121719360351562
baseline,4217,74,71.61290740966797,72.25806427001953,57.22581100463867,51.233116149902344,56.395042419433594,54.254154205322266,15.425344467163086,14.972967147827148
baseline,4274,75,71.48387145996094,72.83871459960938,57.935489654541016,51.60466766357422,58.41012954711914,53.7877197265625,14.773632049560547,14.903319358825684
baseline,4331,76,73.61290740966797,72.32258605957031,58.77419662475586,52.28105163574219,56.329715728759766,55.471195220947266,16.56671714782715,14.827632904052734
baseline,4388,77,71.48387145996094,72.38710021972656,58.2580680847168,52.384620666503906,58.38872146606445,55.02522659301758,14.994222640991211,14.777434349060059
